gnome-session-bin	install	3.18.1.2-1ubuntu1.16.04.2
gnome-session-canberra	install	0.30-2.1ubuntu1
gnome-session-common	install	3.18.1.2-1ubuntu1.16.04.2
gnome-settings-daemon-schemas	install	3.18.2-0ubuntu3.1
gnome-software	install	3.20.5-0ubuntu0.16.04.10
gnome-software-common	install	3.20.5-0ubuntu0.16.04.10
gnome-sudoku	install	1:3.18.4-0ubuntu2
gnome-system-log	install	3.9.90-4
gnome-system-monitor	install	3.18.2-1ubuntu1
gnome-system-tools	install	3.0.0-4ubuntu2
gnome-terminal	install	3.18.3-1ubuntu1
gnome-terminal-data	install	3.18.3-1ubuntu1
gnome-user-guide	install	3.18.1-1
gnome-user-share	install	3.14.2-2ubuntu4
gnome-video-effects	install	0.4.1-3ubuntu1
gnumeric	install	1.12.28-1
gnumeric-common	install	1.12.28-1
gnumeric-doc	install	1.12.28-1
gnupg	install	1.4.20-1ubuntu3.2
gnupg-agent	install	2.1.11-6ubuntu2
gnupg2	install	2.1.11-6ubuntu2
gpgv	install	1.4.20-1ubuntu3.2
graphviz	install	2.38.0-12ubuntu2.1
grep	install	2.25-1~16.04.1
grilo-plugins-0.2-base:amd64	install	0.2.17-0ubuntu2
groff-base	install	1.22.3-7
grub-common	install	2.02~beta2-36ubuntu3.18
grub-gfxpayload-lists	install	0.7
grub-pc	install	2.02~beta2-36ubuntu3.18
grub-pc-bin	install	2.02~beta2-36ubuntu3.18
grub2-common	install	2.02~beta2-36ubuntu3.18
gsettings-desktop-schemas	install	3.18.1-1ubuntu1
gsettings-ubuntu-schemas	install	0.0.5+16.04.20160307-0ubuntu1
gsfonts	install	1:8.11+urwcyr1.0.7~pre44-4.2ubuntu1
gstreamer1.0-alsa:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-clutter-3.0	install	3.0.18-1
gstreamer1.0-libav:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-bad:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-bad-faad:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-bad-videoparsers:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-base:amd64	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-base-apps	install	1.8.3-1ubuntu0.2
gstreamer1.0-plugins-good:amd64	install	1.8.3-1ubuntu0.4
gstreamer1.0-plugins-ugly:amd64	install	1.8.3-1ubuntu0.1
gstreamer1.0-plugins-ugly-amr:amd64	install	1.8.3-1ubuntu0.1
gstreamer1.0-pulseaudio:amd64	install	1.8.3-1ubuntu0.4
gstreamer1.0-tools	install	1.8.3-1~ubuntu0.1
gstreamer1.0-x:amd64	install	1.8.3-1ubuntu0.2
gtk2-engines-murrine:amd64	install	0.98.2-0ubuntu2.2
gucharmap	install	1:3.18.2-1ubuntu1
guile-2.0-libs:amd64	install	2.0.11+1-10
gvfs:amd64	install	1.28.2-1ubuntu1~16.04.2
gvfs-backends	install	1.28.2-1ubuntu1~16.04.2
gvfs-bin	install	1.28.2-1ubuntu1~16.04.2
gvfs-common	install	1.28.2-1ubuntu1~16.04.2
gvfs-daemons	install	1.28.2-1ubuntu1~16.04.2
gvfs-fuse	install	1.28.2-1ubuntu1~16.04.2
gvfs-libs:amd64	install	1.28.2-1ubuntu1~16.04.2
gyp	install	0.1+20150913git1f374df9-1ubuntu1
gzip	install	1.6-4ubuntu1
hardening-includes	install	2.7ubuntu2
hddtemp	deinstall	0.3-beta15-52
hdparm	install	9.48+ds-1ubuntu0.1
hhvm	install	3.11.1+dfsg-1ubuntu1
hicolor-icon-theme	install	0.15-0ubuntu1
hollywood	install	1.8-0ubuntu1~16.04
hostname	install	3.16ubuntu2
hplip	install	3.16.3+repack0-1
hplip-data	install	3.16.3+repack0-1
htop	install	2.0.1-1ubuntu1
hud	install	14.10+16.04.20160415-0ubuntu1
humanity-icon-theme	install	0.6.10.1
hunspell-en-us	install	20070829-6ubuntu3
hwdata	install	0.267-1
hyphen-en-us	install	2.8.8-2ubuntu1
i965-va-driver:amd64	install	1.7.0-1
ibus	install	1.5.11-1ubuntu2.1
ibus-gtk:amd64	install	1.5.11-1ubuntu2.1
ibus-gtk3:amd64	install	1.5.11-1ubuntu2.1
ibus-table	install	1.9.1-3ubuntu2
ibus-unikey	install	0.6.1-1build2
ifupdown	install	0.8.10ubuntu1.4
im-config	install	0.29-1ubuntu12.4
imagemagick	install	8:6.8.9.9-7ubuntu5.9
imagemagick-6.q16	install	8:6.8.9.9-7ubuntu5.9
imagemagick-common	install	8:6.8.9.9-7ubuntu5.9
indicator-application	install	12.10.1+16.04.20170120-0ubuntu1
indicator-appmenu	install	15.02.0+16.04.20151104-0ubuntu1
indicator-bluetooth	install	0.0.6+16.04.20160526-0ubuntu1
indicator-datetime	install	15.10+16.04.20160406-0ubuntu1
indicator-keyboard	install	0.0.0+16.04.20151125-0ubuntu1
indicator-messages	install	13.10.1+15.10.20150505-0ubuntu1
indicator-power	install	12.10.6+16.04.20160105-0ubuntu1
indicator-printers	install	0.1.7+15.04.20150220-0ubuntu2
indicator-session	install	12.10.5+16.04.20160412-0ubuntu1
indicator-sound	install	12.10.2+16.04.20160406-0ubuntu1
info	install	6.1.0.dfsg.1-5
init	install	1.29ubuntu4
init-system-helpers	install	1.29ubuntu4
initramfs-tools	install	0.122ubuntu8.11
initramfs-tools-bin	install	0.122ubuntu8.11
initramfs-tools-core	install	0.122ubuntu8.11
initscripts	install	2.88dsf-59.3ubuntu2
inputattach	install	1:1.4.9-1
insserv	install	1.14.0-5ubuntu3
install-info	install	6.1.0.dfsg.1-5
intel-gpu-tools	install	1.14-1
intel-microcode	install	3.20180425.1~ubuntu0.16.04.1
intltool-debian	install	0.35.0+20060710.4
ippusbxd	install	1.23-1
iproute2	install	4.3.0-1ubuntu3.16.04.3
iptables	install	1.6.0-2ubuntu3
iputils-arping	install	3:20121221-5ubuntu2
iputils-ping	install	3:20121221-5ubuntu2
iputils-tracepath	install	3:20121221-5ubuntu2
irqbalance	install	1.1.0-2ubuntu1
isc-dhcp-client	install	4.3.3-5ubuntu12.10
isc-dhcp-common	install	4.3.3-5ubuntu12.10
iso-codes	install	3.65-1
iucode-tool	install	1.5.1-1ubuntu0.1
iw	install	3.17-1
jarwrapper	install	0.54ubuntu1.1
java-common	install	0.56ubuntu2
javascript-common	install	11
jayatana	install	2.7-0ubuntu5
jp2a	install	1.0.6-6build1
junit	install	3.8.2-8build1
junit4	install	4.12-4ubuntu1
kbd	install	1.15.5-1ubuntu5
kerneloops-daemon	install	0.12+git20140509-2ubuntu1
keyboard-configuration	install	1.108ubuntu15.3
klibc-utils	install	2.0.4-8ubuntu1.16.04.4
kmod	install	22-1ubuntu5
krb5-locales	install	1.13.2+dfsg-5ubuntu2
krb5-multidev	install	1.13.2+dfsg-5ubuntu2
language-pack-en	install	1:16.04+20161009
language-pack-en-base	install	1:16.04+20160627
language-pack-gnome-en	install	1:16.04+20161009
language-pack-gnome-en-base	install	1:16.04+20160627
language-selector-common	install	0.165.4
language-selector-gnome	install	0.165.4
laptop-detect	install	0.13.7ubuntu2
less	install	481-2.1ubuntu0.2
lib32ncurses5	install	6.0+20160213-1ubuntu1
lib32tinfo5	install	6.0+20160213-1ubuntu1
lib32z1	install	1:1.2.8.dfsg-2ubuntu4.1
liba11y-profile-manager-0.1-0:amd64	install	0.1.10-0ubuntu3
liba11y-profile-manager-data	install	0.1.10-0ubuntu3
liba52-0.7.4:amd64	install	0.7.4-18
libaa1:amd64	install	1.4p5-44build1
libaacs0:amd64	install	0.8.1-1
libabw-0.1-1v5:amd64	install	0.1.1-2ubuntu2
libaccount-plugin-1.0-0:amd64	install	0.1.8+16.04.20160201-0ubuntu1
libaccount-plugin-generic-oauth	install	0.12+16.04.20160126-0ubuntu1
libaccount-plugin-google	install	0.12+16.04.20160126-0ubuntu1
libaccounts-glib0:amd64	install	1.21+16.04.20160222-0ubuntu1
libaccounts-qt5-1:amd64	install	1.14+16.04.20151106.1-0ubuntu1
libaccountsservice0:amd64	install	0.6.40-2ubuntu11.3
libacl1:amd64	install	2.2.52-3
libaec0:amd64	install	0.3.2-1
libaio1:amd64	install	0.3.110-2
libalgorithm-diff-perl	install	1.19.03-1
libalgorithm-diff-xs-perl	install	0.04-4build1
libalgorithm-merge-perl	install	0.08-3
libandroid-properties1	install	0.1.0+git20151016+6d424c9-0ubuntu7
libao-common	install	1.1.0-3ubuntu1
libao4:amd64	install	1.1.0-3ubuntu1
libapache-pom-java	install	10-2build1
libapparmor-perl	install	2.10.95-0ubuntu2.9
libapparmor1:amd64	install	2.10.95-0ubuntu2.9
libappindicator3-1	install	12.10.1+16.04.20170215-0ubuntu1
libappstream-glib8:amd64	install	0.5.13-1ubuntu5
libappstream3:amd64	install	0.9.4-1ubuntu3
libapr1:amd64	install	1.5.2-3
