USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 119732  4620 ?        Ss   13:31   0:07 /lib/systemd/systemd --system --deserialize 21
hunglxc   9478  0.0  0.0 206864  3384 ?        Sl   13:47   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
hunglxc   9491  0.0  0.1 188532  3692 ?        Sl   13:47   0:01 /usr/lib/ibus/ibus-engine-simple
hunglxc   9500  0.1  0.3 525656 14352 ?        Ssl  13:47   0:14 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
hunglxc   9505  0.0  0.0 166548   176 ?        Ss   13:47   0:00 gpg-agent --homedir /home/hunglxc/.gnupg --use-standard-socket --daemon
hunglxc   9515  0.0  0.8 733848 30432 ?        Ssl  13:47   0:04 /usr/lib/x86_64-linux-gnu/hud/hud-service
hunglxc   9517  0.0  0.3 929040 11920 ?        Ssl  13:47   0:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
hunglxc   9528  0.0  0.1 714228  5432 ?        Ssl  13:47   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
hunglxc   9540  0.0  0.8 651428 31516 ?        Ssl  13:47   0:07 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
hunglxc   9566  0.0  0.0 354488  3456 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
hunglxc   9567  0.0  0.0 407184  3116 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
hunglxc   9568  0.0  0.0 503852  3480 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
hunglxc   9569  0.0  0.1 1233028 4900 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
hunglxc   9570  0.0  0.4 718784 14868 ?        Ssl  13:47   0:01 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
hunglxc   9571  0.0  0.1 663304  5584 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
hunglxc   9572  0.0  0.1 621020  6032 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
hunglxc   9580  0.0  0.0 887408  3260 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
hunglxc   9617  0.0  0.1 403148  4236 ?        Ssl  13:47   0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
hunglxc   9618  0.0  0.0  22368    36 ?        S    13:47   0:00 syndaemon -i 1.0 -t -K -R
hunglxc   9626  0.1  0.2 566688  7828 ?        S<l  13:47   0:12 /usr/bin/pulseaudio --start --log-target=syslog
hunglxc   9635  0.0  0.1 1242964 5744 ?        Sl   13:47   0:00 /usr/lib/evolution/evolution-source-registry
hunglxc   9655  0.0  0.0 178888  3488 ?        Sl   13:48   0:00 /usr/lib/dconf/dconf-service
hunglxc   9693  4.5  1.4 1218688 51496 ?       Rsl  13:48   6:02 compiz
hunglxc   9697  0.0  0.2 429408  7556 ?        Sl   13:48   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
hunglxc   9698  0.0  0.2 663884 10216 ?        Sl   13:48   0:00 nm-applet
hunglxc   9707  0.0  0.2 576856  7796 ?        Sl   13:48   0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
hunglxc   9711  0.0  1.0 1431076 39436 ?       SLl  13:48   0:04 /usr/bin/gnome-software --gapplication-service
hunglxc   9715  0.1  1.0 1360400 39632 ?       Sl   13:48   0:13 nautilus -n
hunglxc   9721  0.0  0.1 285484  3832 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      9726  0.0  0.1 432452  5104 ?        Ssl  13:48   0:01 /usr/lib/udisks2/udisksd --no-debug
hunglxc   9734  0.0  0.1 863040  4512 ?        Sl   13:48   0:00 /usr/lib/evolution/evolution-calendar-factory
hunglxc   9742  0.0  0.0 257568  2804 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
hunglxc   9747  0.0  0.0 271860  3240 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
hunglxc   9752  0.0  0.1 403648  4048 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
hunglxc   9758  0.0  0.0 259532  3436 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
root      9767  0.0  0.7 505504 26168 ?        Ssl  13:48   0:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
hunglxc   9781  0.0  0.0 350612  3500 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
hunglxc   9802  0.0  0.1 187696  4576 ?        Sl   13:48   0:00 /usr/lib/gvfs/gvfsd-metadata
hunglxc   9817  0.0  0.0 881596  3560 ?        Sl   13:48   0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx9734x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/9734/2
hunglxc   9827  0.0  0.1 690636  3988 ?        Sl   13:48   0:00 /usr/lib/evolution/evolution-addressbook-factory
hunglxc   9830  0.0  0.1 1193524 4244 ?        Sl   13:48   0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx9734x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/9734/3
hunglxc   9845  0.0  0.1 766140  3880 ?        Sl   13:48   0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx9827x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/9827/2
hunglxc   9883  0.0  0.2 494856  8716 ?        Sl   13:48   0:00 zeitgeist-datahub
hunglxc   9890  0.0  0.0   4504    84 ?        S    13:48   0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
hunglxc   9897  0.0  0.1 410240  5468 ?        Sl   13:48   0:00 /usr/bin/zeitgeist-daemon
hunglxc   9904  0.0  0.1 317388  5852 ?        Sl   13:48   0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
hunglxc   9925  5.2  8.0 2770628 292960 ?      Sl   13:48   7:00 /usr/lib/firefox/firefox
hunglxc  10141  0.0  0.2 645552 10308 ?        Sl   13:49   0:00 update-notifier
hunglxc  10190  9.8 10.8 2545816 393244 ?      Sl   13:49  12:59 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -boolPrefs 299:0| -stringPrefs 285:36;69670a09-34ea-4db3-a5f4-f581ef2f8429| -schedulerPrefs 0001,2 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 9925 true tab
hunglxc  10233  0.0  0.0 435516  3316 ?        Sl   13:50   0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
hunglxc  10313  0.0  0.1 705400  4024 ?        Sl   13:52   0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
hunglxc  10347  0.0  0.0 435484  3256 ?        Sl   13:52   0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.4 /org/gtk/gvfs/exec_spaw/5
hunglxc  10455  0.2  1.0 674012 38468 ?        Sl   13:56   0:20 gedit /home/hunglxc/Documents/ThucTapBkav/CTF/whitehat/phan bien/20180530 KyLS/attachments(6)/Description.txt
hunglxc  10480  0.0  0.2 649216 10320 ?        Sl   13:56   0:00 file-roller /home/hunglxc/Documents/ThucTapBkav/CTF/whitehat/phan bien/20180530 KyLS/attachments(6)/challenge.zip
hunglxc  10492  0.0  0.0 207860  2068 ?        Sl   13:56   0:00 /usr/lib/libreoffice/program/oosplash --writer file:///home/hunglxc/.cache/.fr-T6udy4/Wargame_thang%206_nam%202018%20tacgia%20kyls.docx
